"country,""oecd_public_pension_spending_pct_gdp"",""oecd_public_pension_spending_latest_year"",""eurostat_pension_spending_pct_gdp_2021"",""eurostat_status_2021"",""pension_age_men_or_baseline"",""low_earner_grr_pct"",""average_earner_grr_pct"",""high_earner_grr_pct"",""low_minus_average_pp"",""average_minus_high_pp"",""low_to_average_ratio"",""progressivity_index_oecd_earnings_dist_2013"",""progressivity_index_national_earnings_dist_2013"",""pension_gini_oecd_earnings_dist_2013"",""pension_gini_national_earnings_dist_2013"",""gini_wage_national_earnings_dist_2013"",""source_spending_oecd"",""source_progressivity_proxy_2025"",""source_progressivity_index_2013"""
"Israel,""4.5"",""2023"",,,""67"",""62.3"",""42.8"",""21.4"",""19.5"",""21.4"",""1.46"",""79.5"","""",""5.3"","""","""",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Italy,""16.1"",""2021"",""16.19"",""provisional"",""70"",""70.6"",""70.6"",""70.3"",""0.0"",""0.3"",""1.00"",""1.4"",""1.4"",""25.7"",""23.4"",""23.8"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Japan,""9.2"",""2022"",,,""65"",""51.4"",""36.5"",""29.0"",""14.9"",""7.5"",""1.41"",""46.9"",""46.3"",""13.8"",""13.2"",""24.5"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Korea,""3.8"",""2022"",,,""65"",""50.6"",""33.4"",""20.2"",""17.2"",""13.2"",""1.51"",""71.5"",""72.7"",""7.4"",""7.4"",""27.2"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Latvia,""7.5"",""2021"",""8.21"",""provisional"",""65"",""52.6"",""38.7"",""38.7"",""13.9"",""0.0"",""1.36"",,,,,,""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"","
"Lithuania,""6.5"",""2021"",""7.08"",""provisional"",""65"",""26.9"",""17.4"",""12.7"",""9.5"",""4.7"",""1.55"",,,,,,""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"","
"Luxembourg,""8.6"",""2021"",""9.53"",""final"",""62"",""88.4"",""75.6"",""69.2"",""12.8"",""6.4"",""1.17"",""21.1"",""21.8"",""20.5"",""20.9"",""26.8"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Mexico,""4.6"",""2023"",,,""65"",""121.1"",""69.6"",""46.7"",""51.5"",""22.9"",""1.74"",""47.4"",""37.2"",""13.7"",""19.3"",""30.7"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Netherlands,""6.4"",""2021"",""11.43"",""final"",""70"",""86.6"",""74.7"",""68.8"",""11.9"",""5.9"",""1.16"",""3.9"",""3.9"",""25.0"",""23.4"",""24.4"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"New Zealand,""5.1"",""2022"",,,""65"",""64.7"",""39.5"",""19.7"",""25.2"",""19.8"",""1.64"",""100.0"",""100.0"",""0.0"",""0.0"",""26.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Norway,""6.5"",""2021"",,,""67"",""59.5"",""46.1"",""28.4"",""13.4"",""17.7"",""1.29"",""45.3"",""43.9"",""14.2"",""12.1"",""21.5"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Poland,""11.2"",""2021"",""10.72"",""final"",""65"",""60.0"",""31.3"",""28.6"",""28.7"",""2.7"",""1.92"",""0.9"",""1.0"",""25.8"",""26.1"",""26.3"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Portugal,""12.9"",""2021"",""14.16"",""final"",""68"",""73.8"",""72.4"",""70.1"",""1.4"",""2.3"",""1.02"",""-0.8"",""1.0"",""26.2"",""29.1"",""29.4"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Slovakia,""7.4"",""2021"",""8.39"",""final"",""69"",""70.1"",""58.0"",""49.2"",""12.1"",""8.8"",""1.21"",""13.9"",""13.9"",""22.4"",""22.4"",""26.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Slovenia,""10.6"",""2021"",""10.05"",""provisional"",""62"",""67.9"",""45.9"",""45.4"",""22.0"",""0.5"",""1.48"",""50.7"","""",""12.8"","""","""",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Spain,""12.3"",""2021"",""13.77"",""final"",""65"",""80.6"",""80.4"",""49.9"",""0.2"",""30.5"",""1.00"",""24.1"",""24.5"",""19.7"",""19.8"",""26.2"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Sweden,""8.0"",""2021"",""10.74"",""final"",""70"",""64.2"",""63.7"",""78.3"",""0.5"",""-14.6"",""1.01"",""-13.1"",""-18.7"",""29.4"",""26.0"",""21.9"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Switzerland,""6.6"",""2021"",,,""65"",""55.4"",""42.4"",""21.5"",""13.0"",""20.9"",""1.31"",""66.9"",""68.0"",""8.6"",""7.5"",""23.3"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Turkiye,""6.1"",""2021"",,,""65"",""69.1"",""69.1"",""69.1"",""0.0"",""0.0"",""1.00"",""3.5"",""4.4"",""25.1"",""29.3"",""30.7"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"United Kingdom,""7.1"",""2022"",,,""68"",""65.6"",""44.7"",""29.9"",""20.9"",""14.8"",""1.47"",""85.4"",""85.4"",""3.8"",""3.8"",""26.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"United States,""7.3"",""2023"",,,""67"",""50.5"",""39.7"",""28.5"",""10.8"",""11.2"",""1.27"",""42.6"",""42.6"",""14.9"",""14.9"",""26.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"OECD average,""8.1"",""2021"",,,""66.4"",""65.5"",""52.0"",""42.0"",""13.5"",""10.0"",""1.26"",,,,,,""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"","
